,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kosovo polje,42.6394,21.0961,57.83,67,40,5.99,XK,1622007259
1,hilo,19.7297,-155.09,80.28,85,75,4.61,US,1622007215
2,bengkulu,-3.8004,102.2655,86.07,69,98,9.31,ID,1622007259
3,chapais,49.7834,-74.8492,62.38,97,67,9.89,CA,1622007260
4,hamilton,39.1834,-84.5333,73.15,79,1,4.94,US,1622007242
5,mys shmidta,,,,,,,,
6,rikitea,-23.1203,-134.9692,77.86,83,59,21.54,PF,1622007260
7,kahului,20.8947,-156.47,78.82,81,40,10.36,US,1622007106
8,ushuaia,-54.8,-68.3,29.86,86,90,25.32,AR,1622007261
9,busselton,-33.65,115.3333,63.05,57,96,14.18,AU,1622007261
10,nome,64.5011,-165.4064,69.87,24,1,14.97,US,1622007195
11,qaanaaq,77.484,-69.3632,29.75,70,11,10.11,GL,1622007261
12,severo-kurilsk,50.6789,156.125,37.85,98,100,16.24,RU,1622007262
13,fairbanks,64.8378,-147.7164,64.6,34,1,8.05,US,1622007262
14,isla vista,34.4133,-119.861,71.67,63,1,10.36,US,1622007262
15,dillon,34.4166,-79.3712,77.81,75,55,6.38,US,1622007263
16,alice springs,-23.7,133.8833,58.55,36,90,17.87,AU,1622007194
17,tasiilaq,65.6145,-37.6368,37.56,92,100,38.9,GL,1622007263
18,jabinyanah,35.035,10.9081,64.2,61,70,9.1,TN,1622007264
19,sabha,27.0377,14.4283,84.7,14,9,6.2,LY,1622007264
20,taolanaro,,,,,,,,
21,hobart,-42.8794,147.3294,55.26,50,40,8.99,AU,1622007188
22,kodiak,57.79,-152.4072,62.11,39,1,10.36,US,1622007264
23,pecos,31.4229,-103.4932,81.3,39,1,8.05,US,1622007265
24,east london,-33.0153,27.9116,61.74,94,20,8.05,ZA,1622007265
25,zapolyarnyy,69.4154,30.8136,34.88,66,55,5.12,RU,1622007265
26,illoqqortoormiut,,,,,,,,
27,ostrovnoy,68.0531,39.5131,37.38,60,17,6.06,RU,1622007266
28,faanui,-16.4833,-151.75,81.18,72,36,13.42,PF,1622007266
29,atuona,-9.8,-139.0333,79.52,65,27,14.14,PF,1622007266
30,kidal,18.4411,1.4078,89.47,7,76,7.65,ML,1622007267
31,bluff,-46.6,168.3333,45.54,57,86,0.94,NZ,1622007267
32,pevek,69.7008,170.3133,33.17,89,100,1.83,RU,1622007267
33,mitchell,43.7094,-98.0298,60.78,59,1,8.05,US,1622007268
34,pontianak,-0.0333,109.3333,91.38,62,75,5.35,ID,1622007268
35,attawapiskat,,,,,,,,
36,san pedro,14.35,121.0167,96.31,52,75,5.26,PH,1622007269
37,rawson,-43.3002,-65.1023,45.86,64,100,4.16,AR,1622007269
38,zhezkazgan,47.8043,67.7144,91.42,13,1,14.36,KZ,1622007269
39,beloha,-25.1667,45.05,69.98,57,3,4.7,MG,1622007270
40,butaritari,3.0707,172.7902,82.08,76,100,15.3,KI,1622007270
41,bestobe,52.4994,73.0975,94.1,19,6,8.79,KZ,1622007270
42,victoria,22.2855,114.1577,91.96,75,25,1.01,HK,1622007004
43,albany,42.6001,-73.9662,70.41,72,100,4.29,US,1622007001
44,vaini,-21.2,-175.2,66.36,94,75,8.05,TO,1622007271
45,bay roberts,47.5999,-53.2648,45.34,91,100,8.99,CA,1622007271
46,neyyattinkara,8.4,77.0833,76.64,96,100,11.88,IN,1622007271
47,nicoya,10.1483,-85.452,81.95,82,100,4.38,CR,1622007272
48,denpasar,-8.65,115.2167,85.66,74,20,12.28,ID,1622007192
49,kapaa,22.0752,-159.319,80.58,82,40,7.54,US,1622007272
50,alekseyevsk,57.8406,108.3492,56.25,37,83,6.24,RU,1622007273
51,margate,51.3813,1.3862,48.69,75,67,5.01,GB,1622007237
52,airai,-8.9266,125.4092,71.87,58,46,3.91,TL,1622007273
53,syracuse,37.0881,15.2792,68.61,68,46,9.22,IT,1622007273
54,aldan,58.6031,125.3894,51.17,54,100,5.17,RU,1622007274
55,castro,-24.7911,-50.0119,48.7,50,25,1.28,BR,1622007274
56,deloraine,-41.5333,146.6667,54.39,63,77,4,AU,1622007274
57,barentsburg,,,,,,,,
58,cherskiy,68.75,161.3,64.2,33,29,13.58,RU,1622007275
59,coahuayana,18.7333,-103.6833,74.53,78,100,2.37,MX,1622007275
60,mentok,,,,,,,,
61,cape town,-33.9258,18.4232,58.12,79,75,1.01,ZA,1622007105
62,kysyl-syr,63.8986,122.7617,65.66,34,68,4.56,RU,1622007276
63,nemuro,43.3236,145.575,59.43,94,77,11.88,JP,1622007277
64,burnie,-41.0667,145.9167,55.92,60,57,15.46,AU,1622007277
65,port macquarie,-31.4333,152.9167,73.36,64,39,4.12,AU,1622007278
66,klaksvik,62.2266,-6.589,47.32,86,67,19.53,FO,1622007278
67,qazvin,36.2797,50.0049,55.02,94,75,6.91,IR,1622007279
68,grindavik,63.8424,-22.4338,46.35,93,90,29.08,IS,1622007279
69,bairiki,1.3292,172.9752,86,79,20,15.21,KI,1622007279
70,thompson,55.7435,-97.8558,24.96,86,90,10.36,CA,1622007280
71,oranjestad,12.524,-70.027,80.91,81,20,5.99,AW,1622007280
72,khudumelapye,-23.8833,24.75,54.27,50,68,3.83,BW,1622007281
73,clyde river,70.4692,-68.5914,23.23,93,99,17.27,CA,1622007281
74,kavaratti,10.5669,72.642,83.55,74,100,18.14,IN,1622007281
75,port alfred,-33.5906,26.891,62.37,85,57,8.37,ZA,1622007282
76,belushya guba,,,,,,,,
77,umzimvubu,,,,,,,,
78,kloulklubed,7.0419,134.2556,81.1,69,79,1.61,PW,1622007282
79,cidreira,-30.1811,-50.2056,53.51,79,0,10.04,BR,1622007283
80,luau,-10.7073,22.2247,58.33,58,29,4.72,AO,1622007283
81,konevo,62.1215,39.3192,42.17,73,99,5.12,RU,1622007283
82,sibolga,1.7427,98.7792,85.15,78,73,3.76,ID,1622007284
83,lebu,-37.6167,-73.65,54.34,89,90,5.39,CL,1622007284
84,kavieng,-2.5744,150.7967,80.42,83,100,5.88,PG,1622007284
85,cayenne,4.9333,-52.3333,78.1,90,75,5.93,GF,1622007285
86,wangqing,43.3218,129.7634,58.26,68,89,6.69,CN,1622007061
87,chagda,,,,,,,,
88,hofn,64.2539,-15.2082,44.15,82,100,9.4,IS,1622007285
89,necochea,-38.5473,-58.7368,46.24,54,88,10.16,AR,1622007285
90,punta arenas,-53.15,-70.9167,33.91,80,20,11.97,CL,1622007191
91,benguela,-12.5763,13.4055,75.24,55,4,4.97,AO,1622007286
92,barrow,71.2906,-156.7887,26.62,86,90,6.91,US,1622007286
93,alofi,-19.0595,-169.9187,75.09,88,99,5.75,NU,1622007286
94,saldanha,-33.0117,17.9442,46.45,83,78,4.61,ZA,1622007287
95,upernavik,72.7868,-56.1549,25.88,90,50,4.74,GL,1622007287
96,saint george,37.1041,-113.5841,79.39,15,1,1.99,US,1622007004
97,saint-philippe,-21.3585,55.7679,80.15,76,39,9.98,RE,1622007287
98,khatanga,71.9667,102.5,32.61,100,100,6.8,RU,1622007288
99,mataura,-46.1927,168.8643,37.83,72,85,1.77,NZ,1622007288
100,dujuma,,,,,,,,
101,ribeira grande,38.5167,-28.7,64.02,96,100,14.12,PT,1622007288
102,shache,38.4167,77.2406,82.18,11,100,1.39,CN,1622007289
103,grants,35.1473,-107.8514,61.03,8,1,5.75,US,1622007100
104,addanki,15.8167,79.9833,103.5,26,93,19.24,IN,1622007289
105,arkhangelsk,64.5401,40.5433,39.31,60,75,5.99,RU,1622007289
106,souillac,-20.5167,57.5167,79.36,94,40,7.99,MU,1622007290
107,ilulissat,69.2167,-51.1,32.02,74,75,10.36,GL,1622007290
108,guichicovi,,,,,,,,
109,calamar,10.2511,-74.9146,80.55,90,100,0.56,CO,1622007291
110,tuktoyaktuk,69.4541,-133.0374,28.4,86,75,8.05,CA,1622007291
111,pimentel,-6.8367,-79.9342,66,87,57,3,PE,1622007291
112,vila franca do campo,37.7167,-25.4333,64.81,92,100,10.49,PT,1622007292
113,bredasdorp,-34.5322,20.0403,51.12,76,76,4.92,ZA,1622007292
114,tsihombe,,,,,,,,
115,xining,36.6167,101.7667,65.8,33,17,5.19,CN,1622007293
116,ilinsko-podomskoye,,,,,,,,
117,port elizabeth,-33.918,25.5701,57.49,88,0,8.05,ZA,1622007293
118,jamestown,42.097,-79.2353,76.59,73,40,5.75,US,1622007294
119,yellowknife,62.456,-114.3525,34.29,55,20,5.75,CA,1622007017
120,katsuura,35.1333,140.3,75.24,70,100,17.38,JP,1622007294
121,tezu,27.9167,96.1667,94.8,47,91,4.43,IN,1622007294
122,nenjiang,49.1833,125.2167,60.19,40,78,7.67,CN,1622007295
123,satitoa,,,,,,,,
124,anadyr,64.75,177.4833,48.7,53,0,13.6,RU,1622007295
125,san quintin,30.4833,-115.95,61.27,84,69,3.53,MX,1622007296
126,kaitangata,-46.2817,169.8464,42.93,59,54,2.91,NZ,1622007296
127,safwah,,,,,,,,
128,imbituba,-28.24,-48.6703,55.29,75,0,3.83,BR,1622007297
129,dingle,10.9995,122.6711,88.18,63,100,7.14,PH,1622007298
130,ancud,-41.8697,-73.8203,53.13,90,100,8.88,CL,1622007298
131,paamiut,61.994,-49.6678,35.92,67,72,12.15,GL,1622007299
132,shu,43.5983,73.7614,86.13,25,65,1.97,KZ,1622007299
133,ponta do sol,32.6667,-17.1,65.03,68,100,4.65,PT,1622007299
134,severobaykalsk,55.65,109.3167,41.13,72,89,4.45,RU,1622007300
135,kaoma,-14.7833,24.8,56.93,59,1,6.98,ZM,1622007300
136,chokurdakh,70.6333,147.9167,38.59,75,73,10.51,RU,1622007300
137,haines junction,60.7522,-137.5108,46.35,71,100,8.05,CA,1622007301
138,ardakan,32.31,54.0175,88.18,9,1,24.23,IR,1622007301
139,susurluk,39.9136,28.1578,68.85,69,49,5.93,TR,1622007301
140,coquimbo,-29.9533,-71.3436,51.53,100,0,2.62,CL,1622007302
141,ambunti,-4.2365,142.8448,86.86,67,87,4.21,PG,1622007302
142,san ramon,37.7799,-121.978,60.28,80,1,4.92,US,1622007094
143,masuguru,-11.3667,38.4167,70.02,71,10,4.72,TZ,1622007304
144,hithadhoo,-0.6,73.0833,83.89,69,100,19.73,MV,1622007304
145,luza,60.6308,47.2512,41.94,82,100,8.32,RU,1622007305
146,sao filipe,14.8961,-24.4956,72.41,79,0,9.66,CV,1622007305
147,ambon,-3.6954,128.1814,84.34,79,40,14.85,ID,1622007305
148,kalianget,-7.05,113.9333,85.82,68,56,15.19,ID,1622007306
149,lavrentiya,65.5833,-171,37.51,70,35,10.09,RU,1622007306
150,baruun-urt,46.6806,113.2792,57.15,33,90,12.37,MN,1622007133
151,hermanus,-34.4187,19.2345,57.9,63,87,6.24,ZA,1622007306
152,bathsheba,13.2167,-59.5167,79.41,65,20,14.74,BB,1622007307
153,quatre cocos,-20.2078,57.7625,79.09,68,6,9.51,MU,1622007307
154,puerto ayora,-0.7393,-90.3518,74.55,92,30,5.01,EC,1622007307
155,tiksi,71.6872,128.8694,36.73,85,6,3.49,RU,1622007308
156,guerrero negro,27.9769,-114.0611,61.29,86,78,7.61,MX,1622007308
157,bonthe,7.5264,-12.505,77.5,89,100,4.52,SL,1622007309
158,marsa matruh,31.3525,27.2453,70,56,0,4.61,EG,1622007309
159,touros,-5.1989,-35.4608,74.3,91,45,12.1,BR,1622007309
160,male,4.1748,73.5089,87.75,70,75,26.46,MV,1622007310
161,puerto carreno,6.189,-67.4859,75.87,92,91,5.32,CO,1622007310
162,scottsboro,34.6723,-86.0341,73.62,88,90,0,US,1622007311
163,hastings,50.8552,0.5729,48.97,82,68,13.56,GB,1622007017
164,vila velha,-20.3297,-40.2925,71.55,86,90,3,BR,1622007311
165,vitimskiy,,,,,,,,
166,caravelas,-17.7125,-39.2481,72.88,93,92,6.8,BR,1622007312
167,pozo colorado,-23.4923,-58.7972,64.58,38,99,4,PY,1622007313
168,launceston,-41.45,147.1667,56.84,54,40,4,AU,1622007313
169,coihaique,-45.5752,-72.0662,33.75,100,90,3.44,CL,1622007314
170,isiro,2.7739,27.616,71.11,93,89,2.24,CD,1622007315
171,umm lajj,25.0213,37.2685,87.71,42,0,7.2,SA,1622007101
172,namibe,-15.1961,12.1522,74.43,59,0,5.23,AO,1622007315
173,saskylakh,71.9167,114.0833,52.48,69,99,7.34,RU,1622007316
174,darhan,49.4867,105.9228,66,31,90,0.36,MN,1622007246
175,gat,31.61,34.7642,86.4,41,0,2.66,IL,1622007317
176,carnarvon,-24.8667,113.6333,80.67,32,94,9.22,AU,1622007317
177,viedma,-40.8135,-62.9967,50.43,51,99,12.28,AR,1622007036
178,pontes e lacerda,-15.2261,-59.3353,67.91,82,0,1.3,BR,1622007318
179,yakima,46.4665,-120.6678,58.66,57,45,6.62,US,1622007082
